Epoch	Train	Validation
epoch: 1, step: 1496, time: 840.8, train: 13.837, valid: 9.955, train_acc: 0.194, valid_acc: 0.291
epoch: 2, step: 2992, time: 729.1, train: 9.902, valid: 8.301, train_acc: 0.290, valid_acc: 0.340
epoch: 3, step: 4485, time: 783.5, train: 8.725, valid: 7.139, train_acc: 0.328, valid_acc: 0.390
epoch: 4, step: 5978, time: 769.0, train: 7.772, valid: 6.601, train_acc: 0.365, valid_acc: 0.411
epoch: 5, step: 7461, time: 856.0, train: 7.304, valid: 6.387, train_acc: 0.383, valid_acc: 0.425
epoch: 6, step: 8944, time: 824.8, train: 7.026, valid: 6.240, train_acc: 0.395, valid_acc: 0.431
epoch: 7, step: 10440, time: 786.2, train: 6.840, valid: 5.870, train_acc: 0.403, valid_acc: 0.448
epoch: 8, step: 11936, time: 812.7, train: 6.673, valid: 5.787, train_acc: 0.410, valid_acc: 0.453
epoch: 9, step: 13430, time: 777.8, train: 6.579, valid: 5.708, train_acc: 0.415, valid_acc: 0.455
epoch: 10, step: 14924, time: 841.6, train: 6.463, valid: 5.588, train_acc: 0.420, valid_acc: 0.463
epoch: 11, step: 16413, time: 791.5, train: 6.397, valid: 5.585, train_acc: 0.423, valid_acc: 0.462
epoch: 12, step: 17902, time: 827.5, train: 6.312, valid: 5.754, train_acc: 0.427, valid_acc: 0.453
epoch: 13, step: 19399, time: 774.3, train: 6.291, valid: 5.480, train_acc: 0.428, valid_acc: 0.469
epoch: 14, step: 20896, time: 770.1, train: 6.216, valid: 5.482, train_acc: 0.432, valid_acc: 0.470
epoch: 15, step: 22391, time: 862.1, train: 6.166, valid: 5.343, train_acc: 0.434, valid_acc: 0.477
epoch: 16, step: 23886, time: 814.5, train: 6.101, valid: 5.406, train_acc: 0.437, valid_acc: 0.474
epoch: 17, step: 25379, time: 817.8, train: 6.092, valid: 5.359, train_acc: 0.438, valid_acc: 0.476
epoch: 18, step: 26872, time: 817.8, train: 6.036, valid: 5.303, train_acc: 0.440, valid_acc: 0.479
