epoch: 1, step: 1494, time: 839.1, train: 13.246, valid: 9.423, train_acc: 0.206, valid_acc: 0.303
epoch: 2, step: 2988, time: 742.9, train: 9.703, valid: 8.050, train_acc: 0.296, valid_acc: 0.354
epoch: 3, step: 4479, time: 758.2, train: 8.462, valid: 7.092, train_acc: 0.338, valid_acc: 0.394
epoch: 4, step: 5970, time: 781.5, train: 7.516, valid: 6.448, train_acc: 0.375, valid_acc: 0.419
epoch: 5, step: 7454, time: 784.1, train: 7.058, valid: 6.022, train_acc: 0.394, valid_acc: 0.440
epoch: 6, step: 8938, time: 785.9, train: 6.787, valid: 5.810, train_acc: 0.405, valid_acc: 0.450
epoch: 7, step: 10424, time: 761.8, train: 6.640, valid: 5.714, train_acc: 0.412, valid_acc: 0.456
epoch: 8, step: 11910, time: 815.1, train: 6.479, valid: 5.560, train_acc: 0.419, valid_acc: 0.465
epoch: 9, step: 13404, time: 770.2, train: 6.383, valid: 5.579, train_acc: 0.423, valid_acc: 0.465
epoch: 10, step: 14898, time: 795.8, train: 6.270, valid: 5.432, train_acc: 0.429, valid_acc: 0.471
epoch: 11, step: 16389, time: 789.2, train: 6.245, valid: 5.383, train_acc: 0.430, valid_acc: 0.476
epoch: 12, step: 17880, time: 794.9, train: 6.157, valid: 5.341, train_acc: 0.434, valid_acc: 0.476
epoch: 13, step: 19375, time: 772.4, train: 6.107, valid: 5.318, train_acc: 0.437, valid_acc: 0.478
epoch: 14, step: 20870, time: 816.9, train: 6.045, valid: 5.289, train_acc: 0.440, valid_acc: 0.480
epoch: 15, step: 22360, time: 768.2, train: 6.008, valid: 5.250, train_acc: 0.441, valid_acc: 0.481
epoch: 16, step: 23850, time: 817.8, train: 5.943, valid: 5.166, train_acc: 0.445, valid_acc: 0.487
epoch: 17, step: 25345, time: 772.3, train: 5.935, valid: 5.159, train_acc: 0.445, valid_acc: 0.486
epoch: 18, step: 26840, time: 800.5, train: 5.886, valid: 5.185, train_acc: 0.448, valid_acc: 0.485
epoch: 19, step: 28323, time: 767.4, train: 5.867, valid: 5.104, train_acc: 0.449, valid_acc: 0.490
epoch: 20, step: 29806, time: 807.9, train: 5.818, valid: 5.078, train_acc: 0.451, valid_acc: 0.492
epoch: 21, step: 31296, time: 768.7, train: 5.819, valid: 5.039, train_acc: 0.451, valid_acc: 0.494
epoch: 22, step: 32786, time: 799.2, train: 5.774, valid: 5.075, train_acc: 0.454, valid_acc: 0.492
epoch: 23, step: 34278, time: 772.3, train: 5.768, valid: 5.091, train_acc: 0.454, valid_acc: 0.492
epoch: 24, step: 35770, time: 810.3, train: 5.726, valid: 5.075, train_acc: 0.456, valid_acc: 0.492
epoch: 25, step: 37261, time: 770.3, train: 5.725, valid: 5.019, train_acc: 0.456, valid_acc: 0.495
epoch: 26, step: 38752, time: 795.1, train: 5.685, valid: 5.013, train_acc: 0.459, valid_acc: 0.496
epoch: 27, step: 40242, time: 770.0, train: 5.684, valid: 4.980, train_acc: 0.458, valid_acc: 0.497
epoch: 28, step: 41732, time: 816.9, train: 5.647, valid: 5.002, train_acc: 0.461, valid_acc: 0.496
epoch: 29, step: 43221, time: 769.2, train: 5.649, valid: 4.971, train_acc: 0.461, valid_acc: 0.500
epoch: 30, step: 44710, time: 792.4, train: 5.619, valid: 4.915, train_acc: 0.462, valid_acc: 0.503
